x,y,feature,timestamp
60,14,1,7780609
62,12,1,7780621
60,14,5,8963771
62,12,5,8963773
58,16,6,8968421
61,13,6,8968459
61,16,2,9617773
42,41,10,10249367
43,44,9,11719226
43,16,13,11749811
25,40,12,11968290
27,38,12,11968293
24,35,12,12217600
23,32,15,12278279
19,30,11,12527461
22,29,2,12964788
24,29,15,13205641
25,29,12,13206407
25,28,2,13208158
24,29,6,13208664
26,28,12,13209177
23,30,12,13209516
25,28,12,13209518
27,26,15,13209809
22,30,15,13210167
24,28,15,13210176
27,26,6,13210349
25,27,15,13210547
22,31,12,13211364
20,34,6,13211790
23,31,6,13211798
22,33,15,13211799
23,31,12,13211897
26,27,12,13211989
28,25,15,13212020
23,34,5,13212425
22,32,5,13213173
21,35,12,13213182
23,33,12,13213185
21,32,15,13213479
23,28,15,13214007
26,26,15,13214054
21,39,7,13214221
21,31,15,13214270
22,31,5,13214318
28,25,12,13214422
21,36,6,13214540
29,24,15,13214759
28,24,15,13214813
22,43,14,13214997
20,34,15,13215052
22,32,15,13215055
23,29,12,13215466
22,37,14,13215536
20,35,14,13215544
21,32,6,13215546
21,33,12,13215563
21,32,12,13215595
20,33,15,13215706
29,24,6,13215868
25,27,12,13215936
41,26,4,13216088
39,24,4,13216089
21,40,13,13216339
20,37,5,13216348
20,38,12,13216359
22,36,12,13216360
21,33,5,13216441
20,36,12,13216453
22,40,4,13216459
20,38,4,13216461
20,32,15,13216466
20,34,12,13216489
21,32,5,13216518
21,34,12,13216526
26,26,10,13216786
20,31,15,13216855
28,25,1,13216944
30,23,1,13216946
21,29,15,13217229
23,27,15,13217242
26,26,2,13217433
21,42,13,13217662
20,39,5,13217673
22,37,5,13217674
19,40,14,13217775
20,37,6,13217788
19,39,15,13217830
21,37,15,13217832
20,35,6,13217935
20,35,15,13218025
22,44,13,13218040
22,35,13,13218114
20,33,13,13218115
31,27,6,13218198
19,37,15,13218434
21,35,15,13218437
30,23,15,13218628
19,35,15,13218698
19,37,7,13218709
20,33,12,13218848
30,23,6,13218950
21,30,12,13218965
23,28,12,13218966
21,36,7,13219385
19,34,7,13219387
21,34,5,13219600
32,26,6,13219658
19,34,6,13219714
19,37,4,13220161
29,25,2,13220192
41,22,9,13225687
21,26,5,13227197
40,21,9,13228994
23,24,5,13229045
39,20,9,13230045
16,37,5,13230216
43,24,9,13232158
45,25,4,13232988
39,21,10,13233848
53,46,14,13234051
50,49,1,13234100
18,52,10,13234149
21,53,9,13234170
42,22,9,13234372
41,21,9,13234374
41,21,1,13234384
21,54,9,13234484
50,49,5,13234661
49,50,2,13234847
51,48,2,13234849
19,51,9,13234947
22,54,1,13234955
17,49,0,13235255
19,53,9,13235372
17,51,9,13235373
22,54,10,13235644
20,52,10,13235645
49,50,8,13235682
48,51,1,13235784
27,22,5,13235982
23,53,9,13236369
22,52,9,13236371
20,51,4,13236475
46,53,1,13236531
19,51,10,13236593
22,54,2,13236599
24,54,14,13236714
22,52,14,13236715
22,52,6,13236723
23,54,4,13236744
21,52,4,13236746
48,51,15,13236882
50,49,15,13236883
20,50,1,13237266
15,34,2,13237286
48,50,1,13237359
23,53,1,13238343
19,52,9,13238516
49,48,1,13238548
50,50,12,13238681
48,50,15,13238731
50,48,15,13238733
17,44,8,13238846
20,26,6,13238992
18,47,14,13239426
50,47,5,13239537
16,46,8,13239728
21,51,9,13239764
18,48,9,13239767
21,54,2,13239936
22,53,2,13239937
49,50,12,13239981
20,55,1,13240100
23,52,1,13240109
53,43,5,13240466
51,45,5,13240514
19,51,0,13240600
16,37,8,13240739
16,37,0,13240748
50,46,15,13240841
47,51,15,13240882
48,49,2,13240922
19,47,8,13240923
16,44,0,13240936
19,48,9,13241049
17,32,2,13241430
46,47,10,13241864
52,45,14,13241895
50,43,14,13241906
17,41,0,13241967
22,24,6,13242016
22,51,9,13242160
18,41,14,13242193
19,47,9,13242492
16,35,1,13242720
16,42,14,13242776
17,45,10,13242848
18,41,6,13242965
16,41,9,13243033
14,39,9,13243037
49,35,1,13243134
16,41,11,13243671
18,41,3,13243680
16,39,3,13243681
16,34,2,13244014
17,31,2,13244194
50,29,13,13244672
26,50,13,13244858
24,48,13,13244891
22,48,1,13244928
51,38,13,13245000
18,39,0,13245221
15,36,0,13245265
47,48,14,13245630
45,39,9,13245694
20,30,12,13246402
46,47,14,13246548
44,39,13,13246819
19,40,13,13246921
17,38,13,13247026
53,40,13,13247030
50,37,13,13247063
18,44,8,13247397
46,51,7,13247536
44,49,7,13247580
22,52,1,13248098
17,33,8,13248170
22,50,5,13248719
21,51,6,13248728
20,41,8,13249084
49,44,14,13249246
50,43,6,13249247
44,38,9,13249348
47,47,4,13249712
52,41,10,13249793
50,39,10,13249808
47,42,12,13249857
16,34,15,13249915
50,37,4,13251089
46,28,7,13259843
45,29,14,13261881
28,40,13,13262760
37,36,7,13263830
37,32,2,13263895
21,25,11,13264907
29,38,13,13265552
27,36,13,13265613
44,26,7,13265963
33,33,9,13266136
25,38,12,13266691
21,26,8,13266770
22,25,11,13267693
44,27,14,13267786
38,29,7,13268940
23,25,8,13269086
42,25,14,13269156
31,35,2,13270077
33,33,2,13270079
41,27,6,13271637
39,30,12,13274997
28,28,12,13275360
21,27,8,13275758
38,31,12,13275881
41,28,12,13275890
35,34,7,13277110
36,35,4,13280199
24,24,11,13280868
4,28,13,14198827
43,45,14,14748988
19,60,13,17085186
15,60,5,17085195
20,60,13,17085781
18,60,5,17087617
18,61,5,17088821
20,59,5,17088826
18,58,13,17089333
15,59,5,17089336
13,61,1,17089356
15,59,1,17089358
18,60,7,17089890
20,60,5,17089983
10,60,5,17090067
18,61,6,17090243
20,59,6,17090275
22,60,13,17090317
20,58,13,17090326
18,61,7,17090533
16,59,7,17090544
17,61,15,17090996
19,59,15,17091007
16,61,12,17091130
18,59,12,17091143
20,59,14,17091960
17,58,5,17092006
18,60,4,17092026
20,61,4,17092125
18,59,4,17092129
18,61,4,17092162
16,59,4,17092163
20,58,5,17092233
17,61,12,17092691
19,59,12,17092695
16,59,15,17093277
19,60,1,17093406
21,60,5,17093563
17,58,13,17093729
19,59,6,17093949
19,60,12,17093951
19,60,7,17094386
13,54,5,17111558
13,56,2,17113151
15,54,2,17113157
12,55,6,17115338
14,53,6,17115422
15,55,2,17117837
17,53,2,17117850
19,54,2,17118145
17,55,12,17118833
11,55,6,17119696
13,53,6,17119698
13,53,5,17119717
7,57,1,17119999
17,53,1,17120141
10,56,12,17120148
16,56,4,17120155
14,54,4,17120171
19,54,15,17120586
6,58,1,17120972
16,53,1,17121332
11,55,12,17121715
12,54,15,17122144
14,53,15,17122535
15,53,6,17122617
14,54,2,17122640
7,57,2,17122833
17,54,14,17122989
15,52,14,17122996
21,52,7,17123602
15,51,5,17124750
11,54,15,17124752
22,52,9,17124860
15,53,9,17124983
10,54,1,17124998
16,53,10,17125132
9,55,2,17125622
10,53,2,17135982
18,49,2,17138863
20,56,2,17139077
19,48,2,17140111
13,50,2,17146512
22,48,7,17148490
16,47,10,17148911
23,49,4,17149152
16,47,2,17150920
17,46,9,17150933
14,49,1,17150941
17,48,12,17152243
17,46,10,17152755
17,46,2,17152759
17,47,15,17153765
20,46,7,17153772
15,48,1,17153989
17,46,1,17153991
16,57,1,17154273
20,54,12,17154793
19,54,1,17155423
21,52,1,17155425
18,48,10,17156232
13,49,2,17156241
18,58,2,17156648
19,53,1,17157084
22,50,1,17169423
22,51,10,17175362
19,47,10,17178929
16,44,2,17179351
16,45,15,17180574
18,43,15,17180588
23,41,9,17183456
21,49,10,17187172
25,43,10,17187324
24,41,10,17212357
24,39,9,17214853
19,49,12,17216408
17,51,12,17216807
25,44,2,17217692
26,37,9,17242368
24,30,15,18210761
22,32,6,18214846
21,36,12,18215289
23,34,12,18215311
21,35,15,18216841
21,35,12,18217151
23,33,12,18217152
23,31,12,18217186
20,38,12,18217643
22,36,12,18217645
24,40,1,18217919
21,39,13,18218352
25,46,13,18218848
22,43,13,18218856
20,47,14,18229378
21,47,13,18230236
19,44,13,18230595
20,48,14,18232889
17,47,13,18233540
18,49,6,18235007
20,47,6,18235008
18,48,13,18235496
16,46,5,18235755
38,27,10,18236178
36,25,10,18236180
15,42,13,18236722
13,38,5,18236733
15,35,9,18236884
16,30,15,18237988
18,28,15,18237992
16,48,13,18238311
14,49,6,18238548
19,28,12,18238790
21,27,1,18238821
24,24,1,18238826
19,27,15,18239027
15,47,5,18239418
15,47,6,18239680
22,27,12,18239842
17,51,14,18239968
16,46,12,18240345
14,46,13,18240763
22,25,2,18240831
16,50,13,18240996
15,51,5,18241185
15,49,13,18241254
16,48,5,18241320
18,52,13,18241768
40,28,10,18242405
17,29,12,18242519
13,49,6,18242784
15,48,5,18243159
16,47,5,18243198
19,27,12,18244505
19,53,13,18245219
38,26,10,18245303
22,25,15,18245897
12,39,13,18246195
37,26,7,18246752
16,50,5,18246884
18,50,5,18247589
10,40,6,18247768
29,26,15,18248468
13,53,6,18249297
11,50,12,18249343
41,29,10,18249741
17,51,5,18249889
45,35,3,18250266
16,52,5,18250671
12,51,6,18250785
11,41,3,18261743
20,55,2,18262091
14,46,0,18262559
24,44,11,18263187
17,55,2,18263576
16,56,1,18263614
18,54,1,18263635
19,53,9,18263873
20,54,9,18263976
15,45,8,18265830
20,51,12,18266316
17,52,15,18266520
20,49,15,18266529
20,47,6,18266809
22,48,14,18266874
24,50,14,18266911
22,48,6,18266944
22,45,6,18267776
19,45,13,18268022
20,47,7,18268536
23,45,6,18268802
12,34,8,18269279
20,48,6,18269299
22,46,6,18269300
13,43,3,18269432
25,43,11,18269459
27,41,11,18269490
21,46,12,18269800
15,28,11,18271014
42,40,9,18271262
39,37,9,18271271
13,30,11,18271390
16,27,11,18271422
22,41,2,18271793
42,36,12,18273021
41,35,7,18274951
41,35,4,18275029
40,30,7,18276407
40,34,7,18276963
42,38,1,18277150
40,32,7,18277375
15,29,11,18277529
18,26,11,18277561
16,29,8,18278420
18,27,8,18278421
39,31,7,18278560
27,39,9,18278880
14,32,8,18279223
40,40,1,18279522
28,39,1,18279591
15,31,8,18279637
17,29,8,18279897
20,26,8,18279925
30,37,1,18279989
34,26,0,18280037
27,35,6,18280293
27,40,15,18280708
29,38,15,18280709
39,41,14,18280851
21,25,8,18280999
17,28,11,18281189
39,33,7,18281792
19,28,8,18284173
19,27,11,18284752
19,28,11,18285710
17,30,11,18286739
21,26,11,18286740
19,29,8,18289043
18,30,8,18290076
21,27,8,18290078
33,35,12,18291430
22,27,8,18292587
19,29,11,18292799
24,25,8,18293305
18,30,11,18293811
22,26,11,18293822
20,30,8,18296220
23,27,8,18296244
23,26,11,18296642
21,29,8,18296923
19,30,11,18299071
24,25,11,18299077
18,32,11,18301774
21,29,11,18301775
22,29,8,18305609
24,27,8,18305610
21,31,8,18308196
15,39,6,19182806
18,36,6,19182816
15,37,14,19184096
17,37,6,19184234
15,37,6,19184312
15,41,6,19202606
16,40,6,19212171
17,38,6,19213871
13,43,6,19215053
17,38,14,19217478
18,38,6,19217866
16,40,14,19240882
14,48,13,19246216
12,43,6,19247962
16,44,8,19249082
45,18,8,19250323
12,45,6,19268697
14,43,6,19268707
14,43,5,19272675
12,46,5,19281107
13,45,5,19281108
13,47,5,19301525
13,48,13,19304334
10,50,5,19306039
11,49,6,19306383
9,51,5,19306431
13,48,5,19309271
8,52,5,19310131
11,52,6,19326054
7,55,6,19328815
8,54,6,19328842
10,53,6,19330281
7,61,11,19330651
9,54,6,19334262
10,53,5,19335475
10,56,0,19340820
11,56,6,19341823
10,55,13,19341835
10,58,11,19343996
7,59,6,19364041
8,58,14,19366165
8,59,5,19367384
11,61,14,19369670
12,62,14,19373420
9,61,11,19375167
11,59,11,19375192
3,56,11,21214661
11,50,8,21775595
60,43,1,21811873
27,42,2,21985682
28,41,2,21986663
29,40,2,21989889
31,38,2,22000231
29,40,1,22000257
29,38,2,22023507
28,39,2,22030252
31,36,2,22030277
28,36,7,22059704
29,36,4,22060744
35,37,10,22062294
33,35,10,22062297
20,37,6,22089161
32,31,10,22119933
20,29,12,22178899
19,30,12,22187826
34,28,10,22205771
33,26,4,22217543
42,24,9,22374249
43,24,10,22405122
47,24,9,22427105
43,21,4,22428793
46,23,3,22431339
42,20,7,22435409
43,19,10,22465029
27,22,12,22590202
29,20,12,22591867
26,22,15,22593538
29,19,1,22594414
25,20,5,22614220
27,19,6,22618376
21,28,6,22618588
24,24,12,22623295
24,22,15,22623988
47,22,13,22781372
45,20,13,22781374
22,20,11,22934654
23,19,11,22937004
24,29,8,23218730
22,25,11,23491226
23,25,8,23496594
21,27,8,23497870
20,27,11,23497884
23,24,11,23497905
23,25,11,23517537
25,27,8,23779221
27,25,8,23779316
26,27,2,23937814
47,29,4,24057819
45,27,4,24057850
25,28,15,24212213
44,44,8,24212938
47,41,8,24212939
27,27,12,24213722
25,29,12,24213883
29,25,12,24214146
39,23,10,24214856
47,29,3,24215190
22,35,5,24215873
42,24,4,24216421
23,29,15,24217084
25,27,15,24217093
30,24,12,24217106
48,30,0,24217934
23,33,12,24218046
25,31,12,24218056
27,26,12,24218426
24,33,15,24218442
26,27,12,24218460
47,40,11,24218499
45,25,9,24218741
36,24,1,24218839
25,28,12,24219027
48,42,8,24219295
41,24,4,24220207
39,22,4,24220210
24,25,12,24231405
26,23,12,24231407
20,30,5,24233009
22,26,15,24233276
24,24,15,24233311
20,29,1,24233347
22,27,1,24233348
26,22,15,24233988
19,33,6,24234625
21,29,12,24235006
19,30,15,24235416
21,28,15,24235417
19,33,14,24235525
22,26,12,24235949
24,24,12,24235982
53,29,0,24236189
21,29,15,24236249
22,27,12,24236702
27,23,12,24237105
19,31,5,24237291
24,23,15,24237633
28,22,12,24238315
30,20,12,24238342
49,21,9,24238651
20,32,12,24238696
49,23,10,24238876
29,20,15,24238879
22,24,5,24238913
42,19,9,24239277
40,17,1,24239288
26,22,12,24239661
19,35,5,24239810
21,40,4,24239865
19,38,4,24239876
50,22,9,24239882
52,24,10,24239988
49,21,10,24239989
27,21,15,24240007
48,22,10,24240100
47,21,10,24240101
41,19,7,24240533
31,20,15,24240715
22,25,15,24240839
20,40,7,24240904
18,38,7,24240912
47,19,9,24240944
50,22,10,24240968
28,20,15,24241159
19,30,1,24241345
31,19,12,24241425
47,20,9,24241518
47,21,4,24241589
22,24,15,24241677
36,19,12,24241811
37,19,12,24241849
42,20,4,24241856
40,18,4,24241865
29,20,12,24241867
44,19,7,24242041
30,20,15,24242060
40,18,9,24242393
24,47,13,24243059
18,32,2,24243222
24,23,12,24243714
22,41,13,24243879
20,39,13,24243880
18,31,1,24243952
50,50,1,24244174
22,47,10,24244476
23,27,9,24244723
21,48,1,24244819
50,49,13,24245380
50,49,5,24245393
24,50,1,24245765
24,49,3,24246131
49,51,2,24246150
51,49,2,24246151
52,48,1,24246193
49,50,6,24246256
48,46,13,24246653
17,33,1,24246777
51,48,5,24246819
49,51,12,24246820
50,27,11,24246929
52,25,11,24246931
53,24,3,24246954
23,45,13,24246983
51,44,8,24247007
22,24,1,24247034
22,44,14,24247095
49,50,15,24247484
50,45,8,24247826
20,26,2,24247922
22,24,2,24247925
23,23,1,24247962
20,36,0,24248201
21,26,1,24248222
49,46,8,24248265
54,41,8,24248266
22,42,8,24248791
51,49,12,24248854
47,48,14,24248942
24,22,2,24249035
37,38,15,24249188
23,49,12,24249440
16,34,2,24249541
20,30,2,24249543
20,36,8,24249743
49,48,5,24249757
49,49,15,24250084
52,24,4,24250675
49,46,2,24250763
46,19,0,24251047
51,44,2,24251444
22,45,0,24252078
52,42,12,24260379
47,37,10,24262273
49,36,2,24264785
23,25,8,24264961
50,35,10,24265119
23,24,11,24265193
43,44,10,24266277
50,36,2,24266527
24,23,11,24267081
46,36,10,24267506
24,37,3,24268242
23,40,2,24268608
25,38,2,24268609
50,25,13,24269162
47,22,13,24269940
49,33,15,24270088
47,33,10,24270975
31,34,9,24271670
34,31,1,24271928
36,35,2,24272034
39,32,2,24272039
39,35,12,24272192
36,35,10,24272591
25,38,3,24272887
36,29,10,24273033
38,30,9,24273680
38,33,2,24273823
23,25,11,24273899
49,25,12,24274222
31,25,3,24274475
31,25,8,24274511
29,25,6,24274708
32,22,6,24274733
50,22,13,24274807
48,26,15,24275275
46,28,15,24275422
40,32,9,24275812
36,28,9,24275824
29,27,8,24275905
27,22,8,24275929
49,28,7,24275980
39,34,7,24276060
26,23,8,24276307
29,20,8,24276315
28,21,11,24276505
30,19,11,24276506
48,31,4,24276795
29,28,8,24276839
32,25,8,24276843
41,31,9,24276929
39,29,1,24276960
45,26,12,24276962
47,24,12,24276963
27,22,11,24276985
26,25,0,24277020
29,21,8,24277132
31,19,8,24277135
38,28,1,24277573
43,30,7,24277804
24,26,3,24278280
29,28,14,24278338
27,28,10,24278361
44,27,12,24278529
46,29,4,24278538
36,22,6,24278808
30,21,8,24279950
27,23,8,24280065
39,31,15,24280136
42,28,15,24280146
30,20,11,24280226
32,18,11,24280231
37,30,10,24280873
29,21,11,24280898
30,24,3,24280899
26,24,11,24280913
38,20,11,24280931
40,18,11,24280936
28,28,8,24281032
27,25,8,24296320
41,26,14,24303700
39,24,14,24303701
6,35,5,26177186
9,37,13,26237326
7,35,13,26237328
9,37,5,26249318
2,44,6,26311631
56,42,1,28187547
56,38,10,28273349
21,59,1,28330713
21,58,1,28331500
20,59,2,28332068
20,59,1,28333392
22,57,1,28335753
19,59,15,28336837
22,57,2,28337625
20,59,12,28337928
20,59,15,28338444
19,59,2,28338479
21,58,12,28339734
20,57,2,28340566
21,57,15,28341157
19,58,15,28341463
20,58,2,28341502
20,57,1,28341992
21,56,1,28341993
22,57,12,28342259
21,56,2,28343668
23,54,1,28343689
25,51,1,28356088
17,57,1,28357391
19,54,15,28361170
21,52,1,28367494
21,52,12,28368414
22,52,12,28371460
21,51,15,28374250
25,44,1,28403279
27,42,1,28404795
18,55,11,28435601
26,39,12,28499862
44,36,9,28525079
27,36,15,28526410
29,34,15,28526437
26,35,15,28556590
28,33,15,28556638
48,10,6,29151804
45,39,2,29652188
27,26,11,29656218
27,27,12,29869769
26,27,15,29873105
26,27,12,29900090
26,26,15,29901402
25,24,11,30024535
25,28,12,30259629
27,26,12,30259631
26,25,2,30259959
26,26,12,30262121
25,26,2,30262152
25,26,15,30262897
26,25,15,30262898
28,25,12,30263187
28,23,2,30263523
27,24,1,30264609
24,28,12,30265032
28,24,12,30265332
23,30,12,30266110
24,27,12,30266386
26,25,12,30266396
28,23,15,30266698
25,27,15,30267182
23,28,15,30267383
27,24,12,30268558
26,24,15,30268628
23,27,15,30268685
25,25,15,30268691
22,27,14,30268705
22,27,6,30268713
23,29,12,30269067
22,29,15,30269159
23,29,15,30269583
24,28,15,30269586
37,22,10,30269664
35,20,10,30269980
45,24,9,30270160
23,26,15,30270533
25,24,15,30270538
26,24,12,30270590
37,22,12,30270619
22,37,13,30270858
47,26,10,30271364
30,23,12,30271493
22,31,12,30271533
22,36,14,30271807
31,20,15,30271979
25,25,12,30272004
34,19,10,30272041
45,24,10,30272116
28,23,12,30272131
24,26,12,30272215
31,22,12,30272295
36,21,4,30272302
29,24,12,30272389
26,23,15,30272499
36,21,12,30272627
39,21,7,30272652
34,21,2,30272697
22,26,15,30272946
22,36,12,30273083
48,36,8,30273125
22,37,5,30273206
36,21,9,30273310
35,25,12,30273863
39,21,12,30273864
33,21,10,30273922
41,21,9,30273965
22,35,12,30274108
35,21,4,30274285
21,27,15,30274350
37,20,10,30274579
36,19,10,30274581
36,19,2,30274589
32,21,15,30274667
34,19,15,30274668
48,31,3,30274738
37,21,9,30274823
35,19,9,30274827
22,38,6,30275263
35,18,10,30275414
36,19,9,30275430
34,21,1,30275667
36,19,1,30275668
35,22,4,30275683
33,20,4,30275684
31,22,4,30275804
38,20,9,30275851
33,21,1,30275858
35,19,1,30275860
34,21,15,30275898
40,21,7,30275907
38,19,7,30275909
43,22,9,30276077
32,21,7,30276100
49,32,8,30276137
50,31,8,30276138
37,19,7,30276250
36,21,2,30276575
38,19,2,30276576
23,25,12,30276734
38,20,4,30276817
36,22,2,30276838
38,20,2,30276850
36,20,15,30276881
41,21,7,30276889
38,21,12,30276960
32,19,15,30277069
36,21,7,30277076
34,19,7,30277079
35,21,2,30277289
37,19,2,30277291
40,20,9,30277319
35,21,1,30277328
37,19,1,30277330
36,20,10,30277356
32,20,2,30277365
40,20,12,30277678
