x,y,feature,timestamp
38,3,2,11373381
49,43,1,11656680
61,36,2,12209527
62,35,2,12216215
62,34,1,12229854
61,31,2,12401144
61,29,2,12427141
39,21,1,12560841
53,43,2,12652383
48,15,4,12656046
62,12,1,12680794
61,13,2,12683567
61,13,6,12686054
42,16,0,12962979
3,44,1,12967939
49,5,1,12968120
42,12,3,12984137
50,7,0,12985217
51,6,0,12986740
42,13,0,12986746
52,8,0,12987862
50,6,0,12987864
41,10,3,12988232
51,8,2,12989454
50,8,3,12989590
41,12,3,12989677
51,8,1,12990139
40,12,3,12990441
43,14,0,12991032
53,10,0,12991373
49,6,0,12991380
52,8,3,12992216
50,6,3,12992237
53,8,0,12992640
42,11,3,12992952
52,6,3,12993393
53,7,5,12994855
53,8,3,12995378
43,13,3,12995565
44,17,0,12995597
51,8,3,12996062
49,6,3,12996063
53,7,3,12996353
43,15,0,12996356
53,7,0,12996486
54,9,3,12997015
3,38,2,12998168
55,9,0,12998974
53,8,6,12999274
42,12,0,12999783
55,12,0,13000113
51,9,0,13000412
54,9,0,13016587
55,9,3,13020740
55,8,0,13028203
43,12,0,13030821
56,9,0,13031413
28,41,1,13143107
25,53,3,13154627
21,41,6,13213317
26,31,1,13279232
26,32,1,13279504
39,31,5,13301841
27,30,6,13363983
50,15,2,13520441
62,9,5,13654402
62,9,4,13678372
51,12,4,13680566
62,11,4,13681611
60,9,4,13681663
49,10,2,13683158
61,10,7,13684764
61,8,1,13684781
62,8,7,13685665
62,10,4,13686682
60,8,4,13686688
60,10,7,13687169
61,8,4,13710316
60,8,7,13710418
61,8,7,13712192
49,8,7,13717226
46,10,6,13925246
56,3,2,14031349
45,9,5,14092050
27,31,5,14145147
29,29,5,14148311
26,31,1,14375586
24,30,6,14736430
25,29,6,14744067
25,30,2,14869285
47,41,5,15329525
25,31,1,15485398
25,30,1,15490133
26,29,5,15491222
23,35,5,15491653
22,36,6,15494530
23,43,7,15494630
46,36,0,15494693
45,33,0,15494723
23,32,5,15494758
45,33,3,15494922
40,28,7,15496014
23,41,4,15496828
22,40,4,15496835
22,34,6,15496958
21,41,7,15498475
23,33,5,15498482
40,29,2,15498498
23,34,5,15498757
21,41,6,15498986
45,31,0,15499386
44,45,3,15499529
21,39,7,15500011
46,41,0,15500439
22,53,5,15510470
19,32,5,15513057
21,30,5,15513058
51,50,2,15513202
21,54,6,15514829
44,28,4,15515059
40,25,1,15515087
19,32,6,15519695
46,30,0,15521148
15,49,3,15522897
43,27,4,15523124
19,55,7,15524165
16,46,0,15524330
17,51,3,15524404
52,44,3,15524470
51,42,1,15524495
50,54,6,15524701
33,26,2,15524794
52,38,5,15525057
17,37,5,15525163
19,53,1,15525389
49,53,0,15525398
21,56,0,15525442
22,57,2,15525542
51,51,5,15525778
21,55,4,15525858
19,53,4,15525862
18,51,1,15526884
48,56,7,15527129
51,39,5,15527241
15,45,0,15527311
46,39,6,15527563
15,42,2,15527907
20,54,5,15527918
49,52,2,15527967
20,48,3,15528053
51,36,3,15528061
52,41,6,15528146
51,41,3,15528153
49,39,3,15528156
52,42,0,15528165
50,51,7,15528227
49,47,1,15528301
51,48,2,15528444
52,40,6,15528580
47,37,3,15528596
53,45,0,15528646
52,48,6,15528670
23,56,1,15528767
51,46,3,15528815
53,48,0,15528820
21,58,2,15529055
22,57,1,15529059
52,46,3,15529074
49,51,6,15529280
52,45,7,15529437
45,34,7,15529445
52,47,1,15529588
50,47,3,15529600
47,52,0,15529731
51,38,0,15529732
51,44,1,15529970
52,44,0,15529981
50,48,4,15530172
51,45,7,15530215
44,33,7,15530246
17,39,1,15530260
49,44,2,15530309
51,42,2,15530315
46,35,4,15530338
44,33,4,15530340
49,50,4,15530406
49,48,7,15530445
23,52,6,15530449
38,24,2,15530599
42,26,7,15530629
19,47,1,15530646
52,46,1,15530809
50,45,3,15530819
50,38,0,15530930
49,56,4,15530976
49,49,4,15530994
19,50,1,15531114
22,54,4,15531144
49,50,1,15531233
48,51,7,15531238
47,53,4,15531349
49,38,3,15531379
47,41,6,15539886
40,27,7,15544408
45,41,6,15545269
45,37,3,15547836
41,28,4,15548132
46,34,4,15548490
39,37,1,15549380
41,38,7,15549514
44,47,5,15549534
41,43,3,15550003
43,30,7,15551036
44,31,4,15552956
36,33,5,15553175
44,33,6,15553206
44,30,7,15555004
25,38,1,15556111
42,31,2,15556711
38,31,5,15557499
27,36,7,15557830
43,29,1,15558633
26,35,4,15559466
29,31,1,15559586
7,29,5,16490403
3,30,6,16516468
21,31,5,17059167
44,35,0,17111256
49,15,1,17122180
19,35,1,17124467
47,38,3,17187665
59,51,6,17343365
20,32,6,18030350
51,17,6,18373794
2,58,5,19103604
8,59,7,19103998
8,59,4,19104544
4,57,6,19106296
7,58,7,19107444
4,57,5,19107864
6,58,4,19107948
2,57,6,19108254
3,57,6,19108532
2,58,2,19108543
3,56,5,19110350
3,56,1,19110354
5,56,6,19110447
4,57,2,19110469
8,57,6,19110551
7,58,2,19110587
4,56,7,19110643
5,55,5,19111271
4,56,1,19111274
5,56,1,19113078
4,55,6,19113681
2,57,2,19113682
3,55,5,19113926
3,55,1,19113931
9,59,1,19115092
6,55,6,19115650
5,56,2,19115657
5,55,6,19116240
4,55,2,19118483
10,60,2,19119983
11,59,2,19119991
3,54,4,19120263
6,53,1,19124764
4,49,2,19146539
3,46,2,19148430
12,51,1,19152189
4,45,2,19152731
1,41,2,19177324
3,40,7,19180545
2,40,2,19187439
6,39,2,19215737
15,40,2,19242350
22,51,5,19249925
3,57,0,19360622
3,55,0,19366561
24,36,1,19371110
10,53,2,19430194
14,32,2,19530599
14,30,2,19934892
5,37,6,20143291
6,36,5,20151500
7,35,6,20152722
4,40,6,20153158
3,40,5,20169951
3,37,5,20173441
2,40,6,20174239
4,37,5,20175843
1,41,6,20177884
4,39,5,20179949
4,50,7,20181928
3,38,5,20184540
6,35,5,20184544
3,47,5,20185328
1,44,6,20187201
1,38,6,20187391
5,28,1,20241023
11,31,2,20341366
7,49,2,20803363
39,33,0,20811387
10,33,6,20900152
12,31,6,20900159
23,28,6,20905287
9,40,5,20905887
39,34,4,20932288
8,35,5,20936160
11,32,5,21021245
19,32,1,21028081
11,52,3,21055610
17,31,1,21210307
15,32,6,21241279
13,36,1,21340900
16,35,6,21529242
18,32,1,21585443
29,28,3,21650047
20,34,6,22141478
21,42,7,22142293
20,42,5,22143367
21,40,4,22143754
21,33,5,22143910
21,39,4,22143912
20,36,5,22144207
19,39,7,22145581
20,37,7,22146278
20,32,6,22146786
18,41,6,22146887
20,35,5,22147208
19,39,4,22147229
19,44,6,22147455
19,38,4,22147727
19,35,7,22148412
20,42,6,22148989
21,41,5,22148994
19,40,5,22149190
19,40,7,22149277
20,37,4,22149304
18,38,7,22149329
19,38,7,22149330
19,33,6,22149874
18,34,5,22150060
18,38,4,22150068
18,36,7,22150328
21,45,5,22150357
19,36,5,22150399
18,36,5,22150644
20,33,4,22150728
17,39,5,22150857
19,34,4,22150876
20,30,5,22150936
20,36,4,22150942
18,40,6,22151091
18,39,5,22151170
19,33,7,22151316
20,41,5,22151598
19,41,6,22151603
18,40,5,22151888
23,27,5,22151897
17,35,6,22152026
18,36,4,22152065
18,37,6,22152173
17,40,7,22152183
18,39,7,22152309
17,37,6,22152315
21,32,7,22152332
19,45,4,22152768
20,32,4,22152853
17,39,6,22152919
18,44,5,22152932
17,37,7,22152955
18,34,7,22153017
17,42,5,22153068
19,32,7,22153117
19,34,7,22153390
18,39,6,22153545
34,25,7,22153590
17,42,6,22154079
20,44,5,22154349
20,34,4,22154426
19,42,5,22154534
17,35,7,22154667
17,37,4,22154817
17,43,4,22154832
18,34,4,22154963
16,38,7,22155009
21,31,7,22155045
33,24,1,22155102
16,38,6,22155211
36,26,7,22155276
17,34,7,22155321
17,43,7,22155482
17,43,6,22155697
16,37,7,22155786
22,31,4,22155826
19,31,7,22156204
16,43,5,22156227
18,32,7,22156236
12,39,6,22161350
12,37,5,22163392
11,38,5,22163894
11,38,6,22164138
15,29,2,22164196
17,27,1,22164595
19,25,1,22164934
18,26,2,22164937
12,40,6,22165009
14,49,6,22165314
12,47,4,22165828
10,39,5,22165973
10,39,6,22165988
11,41,5,22166079
12,40,5,22166081
12,46,4,22166159
10,41,7,22166179
11,40,6,22166779
10,43,7,22166783
10,44,7,22166793
11,44,5,22166891
11,41,6,22167204
11,46,4,22167325
45,32,3,22172424
46,46,2,22172856
12,49,0,22172863
10,47,0,22172864
13,50,5,22173051
11,49,3,22173508
10,36,1,22173678
9,43,2,22173769
13,53,0,22173811
11,47,3,22173880
15,55,2,22174093
13,50,0,22174290
20,56,5,22174337
